,matchid,team,opponent,result,sets won,sets lost,set1,set2,set3,set4,set5,attacks,blocks,serves,digs,receives,sets
301,18899,Canada,Argentina,L,1,3,18,25,21,20,,53,6,2,46,82,112
302,18899,Argentina,Canada,W,3,1,25,22,25,25,,51,11,5,48,67,110
303,18900,Bulgaria,Iran,W,3,2,20,25,25,20,15,53,19,5,58,92,111
304,18900,Iran,Bulgaria,L,2,3,25,22,23,25,11,42,16,10,66,77,111
305,18901,Brazil,Slovenia,L,2,3,25,25,24,25,12,63,8,5,71,88,133
306,18901,Slovenia,Brazil,W,3,2,27,23,26,21,15,72,7,4,76,93,131
307,18902,Japan,Poland,L,0,3,17,15,20,,,30,3,4,45,64,81
308,18902,Poland,Japan,W,3,0,25,25,25,,,41,14,1,35,46,78
309,18903,Cuba,Italy,L,1,3,21,25,19,13,,45,6,5,45,80,97
310,18903,Italy,Cuba,W,3,1,25,22,25,25,,48,11,6,41,60,86
311,18904,France,Netherlands,W,3,1,25,20,25,25,,51,13,4,47,71,96
312,18904,Netherlands,France,L,1,3,20,25,19,22,,55,5,4,47,81,112
313,18905,USA,Serbia,W,3,1,23,25,25,25,,55,11,4,63,63,104
314,18905,Serbia,USA,L,1,3,25,15,23,14,,52,5,5,59,84,118
315,18906,Türkiye,Iran,W,3,1,22,25,25,27,,53,10,6,48,77,105
316,18906,Iran,Türkiye,L,1,3,25,23,23,25,,59,10,4,54,81,119
317,18907,Poland,Brazil,L,1,3,21,17,25,23,,47,5,3,39,73,90
318,18907,Brazil,Poland,W,3,1,25,25,21,25,,49,13,5,39,63,90
319,18908,Japan,Slovenia,W,3,1,25,19,26,25,,55,6,7,56,78,112
320,18908,Slovenia,Japan,L,1,3,23,25,24,21,,52,13,4,53,79,107
321,18909,Cuba,France,W,3,2,25,20,23,25,15,60,13,6,34,77,98
322,18909,France,Cuba,L,2,3,18,25,25,22,10,64,7,7,36,96,117
323,18910,Canada,USA,W,3,1,25,19,26,28,,56,5,8,64,71,115
324,18910,USA,Canada,L,1,3,16,25,24,26,,49,8,5,56,74,100
325,18911,Serbia,Argentina,L,2,3,26,18,25,25,13,64,13,4,54,91,117
326,18911,Argentina,Serbia,W,3,2,28,25,18,22,15,57,14,8,53,84,115
327,18912,Türkiye,Germany,L,2,3,22,44,23,25,12,65,16,3,67,97,139
328,18912,Germany,Türkiye,W,3,2,25,42,25,19,15,81,7,5,78,104,158
329,18913,Bulgaria,Slovenia,L,0,3,23,14,21,,,33,3,4,32,60,82
330,18913,Slovenia,Bulgaria,W,3,0,25,25,25,,,37,8,6,34,41,69
331,18914,Italy,Netherlands,W,3,0,25,25,25,,,40,9,3,48,41,75
332,18914,Netherlands,Italy,L,0,3,18,15,21,,,36,2,2,49,61,90
333,18915,Argentina,France,L,2,3,19,17,25,28,,60,8,5,56,92,119
334,18915,France,Argentina,W,3,2,25,25,22,26,5,66,9,8,56,80,109
335,18916,Canada,Serbia,L,1,3,25,20,18,23,,54,8,2,45,82,96
336,18916,Serbia,Canada,W,3,1,21,25,25,25,,56,7,11,42,72,103
337,18917,Netherlands,Brazil,L,1,3,26,23,29,20,,55,4,9,52,86,119
