,matchid,team,opponent,result,sets won,sets lost,set1,set2,set3,set4,set5,attacks,blocks,serves,digs,receives,sets
311,13486,Canada,TÃ¼rkiye,L,0,3,23,23,17,,,44,2,7,31,66,95
312,13486,TÃ¼rkiye,Canada,W,3,0,25,25,25,,,43,7,5,31,55,78
313,13487,Iran,Netherlands,L,1,3,22,25,20,18,,43,7,4,25,74,82
314,13487,Netherlands,Iran,W,3,1,25,21,25,25,,48,12,6,29,66,84
315,13488,Serbia,Tunisia,W,3,0,29,25,25,,,40,10,6,27,50,69
316,13488,Tunisia,Serbia,L,0,3,27,15,17,,,30,8,4,22,66,77
317,13489,Ukraine,Puerto Rico,W,3,1,24,25,25,25,,53,5,11,49,66,101
318,13489,Puerto Rico,Ukraine,L,1,3,26,19,16,19,,45,6,3,41,82,94
319,13490,Italy,China,W,3,0,25,25,25,,,43,7,4,34,33,57
320,13490,China,Italy,L,0,3,14,10,14,,,24,1,0,23,65,82
321,13491,Slovenia,Germany,W,3,1,25,25,21,25,,44,10,6,38,65,103
322,13491,Germany,Slovenia,L,1,3,18,19,25,22,,45,8,5,42,78,114
323,13492,Italy,Cuba,W,3,1,25,21,26,25,,39,12,2,36,67,90
324,13492,Cuba,Italy,L,1,3,21,25,24,18,,52,5,3,38,77,117
325,13493,USA,TÃ¼rkiye,W,3,2,25,25,22,19,15,60,7,3,43,81,127
326,13493,TÃ¼rkiye,USA,L,2,3,21,17,25,25,12,65,6,0,30,91,125
327,13494,Poland,Tunisia,W,3,0,25,25,25,,,42,5,9,21,46,75
328,13494,Tunisia,Poland,L,0,3,20,15,20,,,28,2,1,19,56,76
329,13495,Netherlands,Ukraine,L,0,3,16,19,18,,,33,1,2,16,62,71
330,13495,Ukraine,Netherlands,W,3,0,25,25,25,,,37,12,5,17,42,54
331,13496,France,Japan,W,3,2,25,21,26,22,18,64,11,5,34,88,120
332,13496,Japan,France,L,2,3,17,25,24,25,16,64,8,5,37,90,123
333,13497,Serbia,Argentina,L,0,3,23,21,23,,,41,7,3,19,59,82
334,13497,Argentina,Serbia,W,3,0,25,25,25,,,43,10,3,22,53,78
335,13498,Brazil,Iran,W,3,0,25,25,25,,,41,6,7,31,48,77
336,13498,Iran,Brazil,L,0,3,17,22,23,,,32,7,5,27,63,76
